G*@0i,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,press_compass_status,f_mode,gps_status,vehicle_type,error_flags1,gps_accH
20180929 11:15:57:692,-38,16.7,0.0,1.9626722E7,2.2347777,181.19913,1.01,false,0,0,-0.47,341.66,0.07,255,97,85,16,1,5,0,4.4
20180929 11:15:57:725,-32,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.66,0.07,255,97,85,16,1,5,0,4.4
20180929 11:15:57:759,-32,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.66,0.07,255,97,85,16,1,5,0,4.4
20180929 11:15:57:842,-36,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.66998,0.07,255,97,85,16,1,5,0,4.4
20180929 11:15:57:891,-34,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.66998,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:57:932,-31,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.66998,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:035,-33,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.66998,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:039,-30,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.68,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:048,-31,16.7,0.0,-0.08,0.0,0.0,0.0,false,0,0,-0.47,341.68,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:098,-39,16.7,0.0,-0.09,0.0,0.0,0.0,false,0,0,-0.47,341.68,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:139,-42,16.7,0.0,-0.09,0.0,0.0,0.0,false,0,0,-0.47,341.68,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:179,-30,16.7,0.0,-0.09,0.0,0.0,0.0,false,0,0,-0.47,341.69,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:218,-33,16.7,0.0,-0.09,0.0,0.0,0.0,false,0,0,-0.47,341.69,0.06,255,97,85,16,1,5,0,4.4
20180929 11:15:58:258,-28,16.7,0.0,-0.09,0.0,0.0,0.0,false,0,0,-0.47,341.69,0.06,255,97,85,16,1,5,0,4.4
